2024-07-18T00:00:21.680+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:194 | sql:update sl_config slc1_0 set pv=2,uv=2 where slc1_0.id=376
2024-07-18T00:00:21.889+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:203 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=254 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:22.105+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=254 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:22.312+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:200 | sql:update sl_config slc1_0 set pv=69,uv=62 where slc1_0.id=254
2024-07-18T00:00:22.527+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=320 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:22.740+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:210 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=320 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:23.328+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:582 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=320
2024-07-18T00:00:23.544+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:206 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=400 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:24.032+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:485 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=400 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:24.237+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:197 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=400
2024-07-18T00:00:24.833+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:586 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=312 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:25.056+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:209 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=312 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:25.259+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:194 | sql:update sl_config slc1_0 set pv=96,uv=78 where slc1_0.id=312
